name,color,type,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Abacate Avocado,green,FRUIT,low,low,low,low,medium,medium,high,high,high,high,high,low
Abacate Breda,green,FRUIT,low,low,low,low,low,low,low,medium,high,high,high,medium
Abacate Fortuna,green,FRUIT,low,low,high,high,high,high,high,medium,low,low,low,low
Abacate Geada,green,FRUIT,high,high,low,low,low,low,low,low,low,low,low,low
Abacate Margarida,green,FRUIT,low,low,low,low,low,medium,medium,medium,high,high,high,high
Abacate Quintal,green,FRUIT,low,low,medium,high,high,high,high,medium,low,low,low,low
Abacaxi Havai,yellow,FRUIT,medium,low,low,low,low,high,low,low,low,low,low,medium
Abacaxi Pérola,yellow,FRUIT,medium,low,medium,low,low,low,low,low,medium,medium,high,high
Abiu,yellow,FRUIT,high,low,low,medium,low,low,low,low,medium,low,medium,medium
Acerola,red,FRUIT,high,high,high,high,medium,low,low,low,medium,high,high,high
Ameixa Nacional,purple,FRUIT,medium,medium,low,low,low,low,low,low,low,low,medium,high
Amora,purple,FRUIT,low,low,low,low,low,low,low,medium,high,medium,high,high
Atemoia,green,FRUIT,low,low,low,medium,high,high,high,high,medium,low,low,low
Avelã,brown,FRUIT,low,low,low,low,low,low,low,high,medium,low,low,low
Banana Maçã,yellow,FRUIT,medium,medium,low,low,low,low,medium,high,high,high,high,medium
Banana Nanica,yellow,FRUIT,medium,medium,medium,low,high,low,low,medium,low,medium,medium,low
Banana Ouro,yellow,FRUIT,high,high,low,low,low,medium,high,low,low,medium,medium,high
Banana Prata MG,yellow,FRUIT,low,low,medium,medium,medium,medium,high,medium,medium,high,high,medium
Banana Prata SP,yellow,FRUIT,medium,medium,high,low,low,low,medium,high,high,low,medium,low
Banana Terra,yellow,FRUIT,high,low,medium,low,low,low,low,medium,medium,medium,high,high
Cacau,brown,FRUIT,low,low,high,low,low,low,low,low,low,low,low,low
Caju,red,FRUIT,high,low,low,low,low,low,low,low,medium,high,low,medium
Caqui Chocolate Kyoto,orange,FRUIT,low,medium,medium,high,high,medium,medium,low,low,low,low,low
Caqui Fuyu,orange,FRUIT,low,low,high,high,high,high,medium,low,low,low,low,low
Caqui Giombo,orange,FRUIT,low,low,medium,high,high,high,low,low,low,low,low,low
Caqui Rama Forte,orange,FRUIT,low,low,high,high,high,medium,low,low,low,low,low,low
Carambola,yellow,FRUIT,high,high,high,medium,medium,high,high,high,low,low,low,medium
Castanha Nacional,brown,FRUIT,medium,low,low,low,low,medium,low,low,medium,high,medium,high
Coco Verde,brown,FRUIT,high,medium,medium,low,low,low,low,low,medium,medium,high,high
Cupuaçu,brown,FRUIT,high,high,high,high,high,high,high,high,high,high,low,low
Embu,green,FRUIT,high,high,low,low,low,low,low,low,low,low,low,low
Figo,purple,FRUIT,high,high,high,high,medium,medium,low,low,low,low,low,high
Framboesa,red,FRUIT,medium,medium,high,low,low,low,low,low,low,low,low,low
Goiaba,green,FRUIT,medium,high,high,medium,low,low,low,low,low,low,low,low
Grapefruit,orange,FRUIT,low,low,medium,low,low,low,low,low,low,low,high,medium
Graviola,green,FRUIT,medium,low,low,low,high,low,low,low,low,high,high,low
Jabuticaba,purple,FRUIT,low,low,low,low,low,low,low,high,medium,high,low,low
Jaca,green,FRUIT,high,high,high,high,medium,low,low,low,low,medium,high,high
Jambo,red,FRUIT,high,low,low,low,low,low,low,low,medium,medium,high,medium
Jatobá,brown,FRUIT,low,low,medium,low,low,low,low,high,high,low,low,low
Jenipapo,brown,FRUIT,high,low,low,low,medium,low,low,medium,low,low,low,low
Kiwi Nacional,brown,FRUIT,low,low,medium,high,high,high,medium,low,low,low,low,low
Laranja Baia,orange,FRUIT,low,low,low,low,medium,medium,high,high,high,medium,low,low
Laranja Lima,orange,FRUIT,high,low,low,low,low,low,high,high,high,high,high,low
Laranja Pera,orange,FRUIT,high,medium,medium,low,low,low,low,medium,medium,medium,medium,medium
Laranja Seleta,orange,FRUIT,medium,medium,high,high,high,high,high,medium,low,low,low,low
Laranja Valência,orange,FRUIT,high,medium,medium,medium,low,low,low,low,medium,high,high,high
Lichia,red,FRUIT,high,low,low,low,low,low,low,low,low,low,low,high
Lima Pérsia,green,FRUIT,low,low,low,low,low,low,medium,high,high,high,medium,low
Limão Galego,green,FRUIT,high,high,medium,medium,low,low,low,low,low,low,low,low
Limão Rosa,green,FRUIT,low,low,low,medium,high,high,high,high,high,medium,low,low
Limão Siciliano,green,FRUIT,medium,medium,low,low,low,low,medium,high,high,high,medium,high
Limão Taiti,green,FRUIT,high,medium,medium,medium,low,low,low,low,low,low,medium,high
Longan,yellow,FRUIT,low,high,high,medium,low,low,low,low,low,low,low,low
Maçã Eva,red,FRUIT,high,low,low,low,low,low,low,low,low,low,low,medium
Maçã Fuji,red,FRUIT,medium,low,low,medium,high,high,high,high,high,high,high,medium
Maçã Gala,red,FRUIT,high,medium,low,low,low,low,medium,medium,medium,high,high,high
Maçã Golden Del,red,FRUIT,low,low,low,low,low,high,high,high,high,high,high,high
Mamão Formosa,red,FRUIT,high,medium,low,medium,high,medium,medium,high,medium,medium,medium,low
Mamão Havaí,orange,FRUIT,medium,medium,low,medium,medium,low,low,low,medium,high,high,medium
Manga Bourbon,orange,FRUIT,low,low,low,low,low,low,low,low,low,high,high,high
Manga Coquinho,orange,FRUIT,low,low,low,low,low,low,low,low,low,medium,high,medium
Manga Espada,orange,FRUIT,low,low,low,low,low,low,low,low,low,high,high,low
Manga Haden,orange,FRUIT,low,low,low,low,low,medium,medium,medium,high,medium,high,medium
Manga Keity,orange,FRUIT,medium,high,high,high,high,high,high,medium,high,high,low,high
Manga Lolita,orange,FRUIT,low,low,low,low,low,low,low,low,low,medium,high,high
Manga Palmer,orange,FRUIT,high,medium,low,low,low,low,low,low,low,medium,medium,high
Manga Rosa,orange,FRUIT,medium,low,low,medium,medium,medium,medium,medium,medium,high,high,high
Manga Shelly,orange,FRUIT,low,low,low,low,low,low,low,low,medium,high,medium,low
Manga Tommy,orange,FRUIT,low,low,low,low,low,low,high,low,low,medium,medium,medium
Mangostim,purple,FRUIT,low,low,high,medium,low,low,high,high,high,high,low,low
Maracujá Azedo,yellow,FRUIT,medium,medium,medium,medium,low,low,medium,high,high,high,low,low
Maracujá Doce,yellow,FRUIT,high,low,low,high,high,high,medium,medium,low,low,low,medium
Melancia Baby,green,FRUIT,high,medium,low,low,low,low,low,medium,medium,medium,high,high
Melancia,green,FRUIT,medium,medium,medium,medium,low,low,low,low,medium,medium,medium,high
Melão Amarelo,yellow,FRUIT,high,medium,low,medium,low,low,low,medium,medium,high,high,high
Melão Gália,green,FRUIT,high,medium,low,low,low,low,low,medium,high,high,high,high
Melão Net Melon,green,FRUIT,low,low,low,high,low,low,low,low,low,low,low,low
Melão Orange,orange,FRUIT,medium,medium,low,low,low,low,medium,medium,medium,high,high,high
Melão Pele de Sapo,green,FRUIT,medium,medium,medium,low,low,low,low,low,low,medium,high,high
Mexerica Rio,orange,FRUIT,low,low,low,low,medium,medium,high,high,high,medium,low,low
Mirtilo,blue,FRUIT,low,low,low,low,low,low,low,low,medium,medium,low,high
Morango Comum,red,FRUIT,low,low,low,low,low,low,high,high,high,medium,medium,medium
Nectarina Nacional,red,FRUIT,low,low,low,low,low,low,low,low,low,medium,high,high
Nêspera,yellow,FRUIT,low,low,low,low,low,medium,high,high,high,high,low,low
Nozes Pecan,brown,FRUIT,low,low,low,low,low,low,low,low,low,low,low,high
Pera Nacional,green,FRUIT,low,high,high,medium,high,high,high,medium,low,low,low,low
Pêssego Aurora,red,FRUIT,low,low,low,low,low,low,low,low,low,medium,high,medium
Pêssego Chimarrita,red,FRUIT,high,low,low,low,low,low,low,low,low,low,high,high
Pêssego Dourado,red,FRUIT,low,low,low,low,low,low,low,low,low,high,high,low
Pêssego Eragil,red,FRUIT,high,low,low,low,low,low,low,low,low,low,low,low
Pêssego Fascinio,red,FRUIT,low,low,low,low,low,low,low,low,low,low,high,medium
Pêssego Kampai,red,FRUIT,low,low,low,low,low,low,low,low,low,high,high,low
Pêssego Nacional,red,FRUIT,medium,low,low,low,low,low,low,low,low,low,medium,high
Pêssego Rubimel,red,FRUIT,low,low,low,low,low,low,low,low,low,medium,high,low
Pêssego Tropic Beauty,red,FRUIT,low,low,low,low,low,low,low,low,medium,high,low,low
Pêssego Xiripa,red,FRUIT,medium,low,low,low,low,low,low,low,low,low,low,high
Physalis,orange,FRUIT,low,low,low,low,low,low,low,low,low,low,low,high
Pinha,green,FRUIT,high,medium,low,medium,medium,medium,low,low,low,low,low,low
Pitaia,pink,FRUIT,high,high,high,medium,low,low,low,low,low,low,low,medium
Pitanga,red,FRUIT,low,medium,low,low,low,low,low,low,medium,high,medium,low
Quincam,orange,FRUIT,low,medium,medium,medium,high,high,high,high,high,low,low,low
Rambutã,red,FRUIT,medium,low,low,medium,medium,high,high,medium,low,low,low,medium
Romã,red,FRUIT,low,medium,low,low,low,low,low,low,medium,high,medium,low
Sapoti,brown,FRUIT,medium,low,low,low,low,low,low,medium,high,high,high,high
Seriguela,orange,FRUIT,medium,high,high,low,low,low,low,low,low,low,low,low
Tamarillo,red,FRUIT,medium,medium,low,low,low,low,low,medium,high,high,medium,medium
Tangerina Cravo,orange,FRUIT,low,medium,high,high,medium,medium,low,low,low,low,low,low
Tangerina Decopom,orange,FRUIT,low,low,low,low,low,medium,medium,high,high,high,high,low
Tangerina Murcote,orange,FRUIT,low,low,low,low,low,low,medium,high,high,high,high,medium
Tangerina Ole,orange,FRUIT,low,low,low,low,medium,high,high,medium,high,medium,low,low
Tangerina Poncã,orange,FRUIT,low,low,low,medium,high,high,high,medium,low,low,low,low
Uva Arra 15,purple,FRUIT,low,low,low,medium,high,high,high,medium,medium,medium,high,high
Uva Benitaka,purple,FRUIT,medium,medium,low,low,low,low,low,low,low,low,low,high
Uva Brasil,purple,FRUIT,high,high,medium,low,low,low,low,medium,low,low,low,medium
Uva Centenial,purple,FRUIT,high,low,low,low,low,low,low,low,low,low,low,medium
Uva Crinsom,purple,FRUIT,low,low,low,low,low,low,medium,medium,high,high,high,high
Uva Isabel,purple,FRUIT,medium,medium,low,low,medium,medium,low,medium,low,medium,high,high
Uva Isis,purple,FRUIT,low,low,low,low,high,high,high,high,medium,high,high,high
Uva Italia,purple,FRUIT,medium,medium,medium,low,low,low,low,low,low,low,low,high
Uva Melodia,purple,FRUIT,low,low,low,low,medium,low,medium,medium,low,medium,high,high
Uva Niagara,purple,FRUIT,medium,low,low,low,low,low,low,low,low,low,low,high
Uva Red Globe,purple,FRUIT,low,low,low,low,low,low,high,high,high,medium,medium,low
Uva Rubi,purple,FRUIT,medium,medium,high,medium,low,low,low,medium,low,low,low,medium
Uva Thompson,purple,FRUIT,medium,low,low,low,low,low,low,low,low,medium,high,high
Uva Vitoria,purple,FRUIT,medium,low,low,low,medium,medium,medium,medium,medium,medium,high,high